stage,rank,variant,family,candidate,success,trials,contact,lift,true_pinch,release,residual_events,hold_true_tip,hold_non_tip,hold_wrap,terminal_reasons,decision
smoke,1,di_qhead_pid_close_s002_w100,quality_pid_like,baseline_di,5,8,6,5,5,8,111,0.625,0.08333333333333334,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,2,di_qhead_prelift_xneg_s0003_m0006,quality_retarget,baseline_di,5,8,6,5,5,8,0,0.625,0.1185897435897436,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,3,di_contact_gate300_settle60,contact_reacquire,baseline_di,5,8,6,5,5,8,0,0.625,0.1217948717948718,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,4,baseline_di_off,anchor,baseline_di,5,8,6,5,5,8,0,0.625,0.13141025641025644,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",frozen_anchor
smoke,5,di_contact_gate260,contact_reacquire,baseline_di,5,8,6,5,5,8,0,0.625,0.13141025641025644,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,6,di_contact260_qhead_close_s002_m010,contact_plus_quality_close,baseline_di,5,8,6,5,5,8,20,0.625,0.13141025641025644,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,7,di_qhead_close_s002_m010_w100,quality_close,baseline_di,5,8,6,5,5,8,20,0.625,0.13141025641025644,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,8,di_qhead_wait_w120,quality_wait,baseline_di,5,8,6,5,5,8,24,0.625,0.13141025641025644,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,9,di_qhead_close_s003_m012_w120,quality_close,baseline_di,5,8,6,5,5,8,24,0.625,0.13141025641025644,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,10,lift_ls460_off,diagnostic_static,lift_ls460,5,8,6,5,5,8,0,0.625,0.14743589743589747,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
smoke,11,ls460_qhead_close_s002_m010_w100,lift_plus_quality_close,lift_ls460,5,8,6,5,5,8,20,0.625,0.14743589743589747,0.0,"{""contact_gate_failed"": 2, ""success_event_contact_gated_true_pinch_release_ball"": 5, ""lift_gate_failed"": 1}",tie_diagnostic
