scope,mode,seed,success,trials,contact,lift,true_pinch,release,terminal_reasons,hold_true_two_tip_mean,hold_non_tip_ratio_mean,hold_wrap_fraction_mean,hold_floor_contact_fraction_mean,residual_active_fraction,safety_clip_fraction
seed,baseline_di,20260612,44,50,47,44,44,50,"{""success_event_contact_gated_true_pinch_release_ball"": 44, ""lift_gate_failed"": 3, ""contact_gate_failed"": 3}",0.880000,0.077949,0.000000,0.046000,0.000000,0.000000
seed,teacher_xclamp,20260612,45,50,47,45,45,49,"{""success_event_contact_gated_true_pinch_release_ball"": 45, ""lift_gate_failed"": 2, ""contact_gate_failed"": 3}",0.900000,0.061026,0.000000,0.032000,0.540000,0.000000
seed,learned_xresidual_safe,20260612,45,50,47,45,45,49,"{""success_event_contact_gated_true_pinch_release_ball"": 45, ""lift_gate_failed"": 2, ""contact_gate_failed"": 3}",0.900000,0.061026,0.000000,0.033000,1.000000,0.340000
seed,baseline_di,20265612,46,50,48,46,46,50,"{""success_event_contact_gated_true_pinch_release_ball"": 46, ""lift_gate_failed"": 2, ""contact_gate_failed"": 2}",0.920000,0.052308,0.000000,0.019000,0.000000,0.000000
seed,teacher_xclamp,20265612,49,50,49,49,49,50,"{""success_event_contact_gated_true_pinch_release_ball"": 49, ""contact_gate_failed"": 1}",0.980000,0.037949,0.000000,0.000000,0.360000,0.000000
seed,learned_xresidual_safe,20265612,49,50,49,49,49,50,"{""success_event_contact_gated_true_pinch_release_ball"": 49, ""contact_gate_failed"": 1}",0.980000,0.039487,0.000000,0.000000,1.000000,0.300000
seed,baseline_di,20265613,46,50,48,46,46,49,"{""success_event_contact_gated_true_pinch_release_ball"": 46, ""contact_gate_failed"": 2, ""lift_gate_failed"": 2}",0.912000,0.072821,0.000000,0.019000,0.000000,0.000000
seed,teacher_xclamp,20265613,49,50,50,49,49,50,"{""success_event_contact_gated_true_pinch_release_ball"": 49, ""lift_gate_failed"": 1}",0.972000,0.071795,0.000000,0.004000,0.360000,0.000000
seed,learned_xresidual_safe,20265613,49,50,50,49,49,50,"{""success_event_contact_gated_true_pinch_release_ball"": 49, ""lift_gate_failed"": 1}",0.972000,0.071282,0.000000,0.004000,1.000000,0.220000
aggregate,baseline_di,all,136,150,143,136,136,149,"{""success_event_contact_gated_true_pinch_release_ball"": 136, ""lift_gate_failed"": 7, ""contact_gate_failed"": 7}",0.904000,0.067692,0.000000,0.028000,0.000000,0.000000
aggregate,teacher_xclamp,all,143,150,146,143,143,149,"{""success_event_contact_gated_true_pinch_release_ball"": 143, ""lift_gate_failed"": 3, ""contact_gate_failed"": 4}",0.950667,0.056923,0.000000,0.012000,0.420000,0.000000
aggregate,learned_xresidual_safe,all,143,150,146,143,143,149,"{""success_event_contact_gated_true_pinch_release_ball"": 143, ""lift_gate_failed"": 3, ""contact_gate_failed"": 4}",0.950667,0.057265,0.000000,0.012333,1.000000,0.286667
