sequence_id,timestamp_ns,phase_id,fault_active,fault_flags,e_stop,abort_required,active_pair_total_tension_n,active_pair_balance_ratio,active_pair_max_abs_iq_a,active_pair_saturation_count,min_bus_voltage_v,max_abs_iq_a,contact_present,lift_quality_now,adjust_needed_now,hold_safe_now
0,0,approach,False,,False,False,0.0,0.0,0.0330886074873059,0,0.0,0.0330886074873059,False,False,False,False
1,5000000,approach,False,,False,False,0.8547166137532618,0.7217049526164344,0.0470133677115935,0,0.0,0.060024048562711894,False,False,False,False
2,10000000,approach,False,,False,False,1.0875073855988076,0.2579178179711586,0.025947619074589298,0,0.0,0.024909180947556342,False,False,False,False
3,15000000,approach,False,,False,False,2.682277766280942,0.6323432169960534,0.030247506613593784,0,0.0,0.06034017988151644,False,False,False,False
4,20000000,approach,False,,False,False,2.8892605053401867,0.6956133629801942,0.06947105332759952,0,0.0,0.04194726382921633,False,False,False,False
5,25000000,approach,False,,False,False,1.450941278425464,0.6515427801534807,0.016522496690474082,0,0.0,0.022293979956236692,False,False,False,False
6,30000000,approach,False,,False,False,1.1125238294943731,0.2693621600431468,0.038721550577432776,0,0.0,0.04910516583986765,False,False,False,False
7,35000000,approach,False,,False,False,1.3190937851934832,0.2735813902229401,0.055945051674122365,0,0.0,0.055945051674122365,False,False,False,False
8,40000000,approach,False,,False,False,1.6601075299997863,0.5383507711058108,0.02967183386260822,0,0.0,0.07218902658478944,False,False,False,False
9,45000000,preshape,False,,False,False,2.927155903527473,0.62979868669859,0.05275659447112242,0,0.0,0.026592268177014704,False,False,False,False
10,50000000,preshape,False,,False,False,1.617556529594419,0.5148514807645823,0.0343361957979297,0,0.0,0.07100767721110327,False,False,False,False
11,55000000,preshape,False,,False,False,1.3410453478003483,0.3102569970811143,0.04973140042032455,0,0.0,0.04973140042032455,False,False,False,False
12,60000000,preshape,False,,False,False,1.4803320490650698,0.38474977008767497,0.037528041219929045,0,0.0,0.05394220821785881,False,False,False,False
13,65000000,pinch_close,False,,False,False,1.5138198825362559,0.4100774900920963,0.053278811413748565,0,0.0,0.03281031148394824,False,False,False,False
14,70000000,pinch_close,False,,False,False,51.564353888137724,0.5288124569906043,0.13798839951768407,0,0.0,0.13798839951768407,False,False,False,False
15,75000000,pinch_close,False,,False,False,62.34172397923752,0.5295700959049316,0.17813149396185593,0,0.0,0.17813149396185593,False,False,False,False
16,80000000,pinch_close,False,,False,False,64.80925297151838,0.5303518931310683,0.21663869730759489,0,0.0,0.21663869730759489,False,False,False,False
17,85000000,pinch_close,False,,False,False,65.55212221366739,0.530174765160179,0.2463731939438618,0,0.0,0.2463731939438618,False,False,False,False
18,90000000,pinch_close,False,,False,False,66.60154501164911,0.5476510518049212,0.20156180841129728,0,0.0,0.20156180841129728,True,False,False,False
19,95000000,pinch_close,False,,False,False,66.54984241305738,0.5410890717081689,0.17930678392942456,0,0.0,0.17930678392942456,True,False,False,False
20,100000000,pinch_close,False,,False,False,66.32841311857757,0.532052709652067,0.2118562483639722,0,0.0,0.2118562483639722,False,False,False,False
21,105000000,contact_gate,False,,False,False,63.93282825162041,0.5157877040332236,0.2053086143903448,0,0.0,0.2053086143903448,True,False,True,False
22,110000000,contact_gate,False,,False,False,48.163234242769704,0.49805387457532263,0.1444122412273616,0,0.0,0.1444122412273616,True,False,True,False
23,115000000,contact_gate,False,,False,False,36.63527345585454,0.4930122401546364,0.11611119698907547,0,0.0,0.11611119698907547,True,False,True,False
24,120000000,contact_gate,False,,False,False,28.593247709034117,0.4968218007302693,0.09495217074616324,0,0.0,0.09495217074616324,True,False,True,False
25,125000000,contact_gate,False,,False,False,22.91905659619224,0.5013343466109779,0.04680079269392622,0,0.0,0.04680079269392622,True,False,True,False
26,130000000,contact_gate,False,,False,False,18.918361735886144,0.5075071866548964,0.10753827317781067,0,0.0,0.10753827317781067,True,False,True,False
27,135000000,contact_gate,False,,False,False,16.539938070326237,0.5575909121699963,0.07603442540215619,0,0.0,0.07603442540215619,True,False,True,False
28,140000000,contact_gate,False,,False,False,14.975172689359054,0.6189550799645328,0.06409129951876866,0,0.0,0.06409129951876866,True,False,True,False
29,145000000,contact_gate,False,,False,False,13.83071524780696,0.6693957798274839,0.052055165248919566,0,0.0,0.052055165248919566,True,False,True,False
30,150000000,contact_gate,False,,False,False,12.981331641853195,0.7063062913239521,0.047612526636129054,0,0.0,0.047612526636129054,True,False,True,False
31,155000000,contact_gate,False,,False,False,12.434242768340482,0.7420580848230637,0.07599016194402342,0,0.0,0.07599016194402342,True,False,True,False
32,160000000,contact_gate,False,,False,False,12.244333813164825,0.7978953852838645,0.032830370250513455,0,0.0,0.032830370250513455,True,False,True,False
33,165000000,contact_gate,False,,False,False,12.119804758673165,0.8353518470532042,0.0520163327252967,0,0.0,0.0520163327252967,True,True,False,False
34,170000000,contact_gate,False,,False,False,12.02063748318113,0.8600061902647848,0.07445352636766783,0,0.0,0.07445352636766783,True,True,False,False
35,175000000,post_contact_settle,False,,False,False,12.000816979517666,0.8638606195761652,0.050152810259110364,0,0.0,0.050152810259110364,True,True,False,False
36,180000000,post_contact_settle,False,,False,False,11.547945387668765,0.9025478980990974,0.03690110512850192,0,0.0,0.03690110512850192,True,True,False,False
37,185000000,slow_lift,False,,False,True,11.051885472953536,0.9234063102401486,0.05558250307926627,0,0.0,0.05558250307926627,True,False,True,False
38,190000000,slow_lift,False,,False,True,10.84408129769734,0.9287119291384588,0.07312204672345565,0,0.0,0.09323758406059621,True,False,True,False
39,195000000,slow_lift,False,,False,True,10.660917023301788,0.9306260687826465,0.11901394470194435,0,0.0,0.11901394470194435,True,False,True,False
40,200000000,slow_lift,False,,False,True,10.508097935793847,0.9296300964119112,0.05415441822509015,0,0.0,0.05415441822509015,True,False,True,False
41,205000000,slow_lift,False,,False,True,10.38190876579344,0.9265311919867523,0.03690746601826227,0,0.0,0.0365315532286582,True,False,True,False
42,210000000,slow_lift,False,,False,True,10.276874049899401,0.9219472855650666,0.05504029864822374,0,0.0,0.05504029864822374,True,False,True,False
43,215000000,slow_lift,False,,False,True,10.2008500494494,0.9139677352962984,0.03871109474066117,0,0.0,0.053230392819814426,True,False,True,False
44,220000000,slow_lift,False,,False,True,10.265499724642883,0.8898514578979426,0.05874576342410341,0,0.0,0.05874576342410341,True,False,True,False
45,225000000,slow_lift,False,,False,False,10.533025937145759,0.857998495766932,0.035459859787454404,0,0.0,0.04151559083068962,True,True,False,False
46,230000000,slow_lift,False,,False,False,10.85657759522237,0.8425124331039853,0.0567506300289159,0,0.0,0.06257375517250185,True,True,False,False
47,235000000,slow_lift,False,,False,False,11.16856797448419,0.8433282830997781,0.07767685309809677,0,0.0,0.07767685309809677,True,True,False,False
48,240000000,slow_lift,False,,False,False,11.446989260102129,0.8543703793119981,0.08045472178081842,0,0.0,0.08045472178081842,True,True,False,False
49,245000000,slow_lift,False,,False,False,11.671606638826075,0.8721215247914023,0.05952357368118476,0,0.0,0.05952357368118476,True,True,False,False
50,250000000,slow_lift,False,,False,False,11.826026817937615,0.8939762507492004,0.036278669510213676,0,0.0,0.036278669510213676,True,True,False,False
51,255000000,slow_lift,False,,False,False,11.8978636136666,0.9179187453147809,0.04547952015406575,0,0.0,0.04547952015406575,True,True,False,False
52,260000000,slow_lift,False,,False,False,11.878223008230847,0.9423549815865835,0.05669496781865535,0,0.0,0.05059250006879884,True,True,False,False
53,265000000,slow_lift,False,,False,False,11.763474505651839,0.96432538110656,0.04170326992268841,0,0.0,0.04170326992268841,True,True,False,False
54,270000000,slow_lift,False,,False,False,11.558825160919348,0.9787796846033593,0.05597310891352267,0,0.0,0.05597310891352267,True,True,False,False
55,275000000,slow_lift,False,,False,False,11.272981592854872,0.9827823750906425,0.039758528475624805,0,0.0,0.039758528475624805,True,True,False,False
56,280000000,slow_lift,False,,False,False,10.912269052579575,0.9770551042183747,0.07231075593952346,0,0.0,0.07231075593952346,True,True,False,False
57,285000000,slow_lift,False,,False,False,10.489621425752425,0.9628523576447714,0.04659147663641461,0,0.0,0.04659147663641461,True,True,False,False
58,290000000,slow_lift,False,,False,False,10.048710128681428,0.9370675636666917,0.053417081871869866,0,0.0,0.053417081871869866,True,True,False,False
59,295000000,slow_lift,False,,False,False,9.750708164693137,0.8777599325732242,0.0763215796768327,0,0.0,0.0763215796768327,True,True,False,False
60,300000000,slow_lift,False,,False,False,9.460945087316341,0.8178279409389502,0.05899341410470463,0,0.0,0.05899341410470463,True,True,False,False
61,305000000,slow_lift,False,,False,False,9.19164345221057,0.7609885443201742,0.03759284329963572,0,0.0,0.054158313083851564,True,True,False,False
62,310000000,slow_lift,False,,False,False,8.955179080828987,0.7082731228327266,0.054232520907660425,0,0.0,0.054232520907660425,True,True,False,False
63,315000000,slow_lift,False,,False,False,8.760670526090816,0.6621463698030416,0.04186726408704039,0,0.0,0.04186726408704039,True,True,False,False
64,320000000,slow_lift,False,,False,False,8.612193946928025,0.6249027205653462,0.04791730359202372,0,0.0,0.04791730359202372,True,True,False,False
65,325000000,slow_lift,False,,False,False,8.509691273419698,0.598980118430518,0.05699559033995763,0,0.0,0.03184770546850999,True,True,False,False
66,330000000,slow_lift,False,,False,False,8.449081102850295,0.5873209062006772,0.0599110803230253,0,0.0,0.03621115189648479,True,True,False,False
67,335000000,slow_lift,False,,False,False,8.425864923863344,0.5906377893277559,0.05077174190848069,0,0.0,0.029855234736841516,True,True,False,False
68,340000000,slow_lift,False,,False,False,8.436268276462126,0.6073418549286349,0.03806054730762999,0,0.0,0.0426114653704777,True,True,False,False
69,345000000,slow_lift,False,,False,False,8.477006932780055,0.6335654163646053,0.06199307555009253,0,0.0,0.030107128558110496,True,True,False,False
70,350000000,slow_lift,False,,False,False,8.542897746447652,0.6649332592524075,0.05316757432085148,0,0.0,0.05316757432085148,True,True,False,False
71,355000000,slow_lift,False,,False,False,8.624952221996429,0.6982381824116469,0.07524607763147889,0,0.0,0.07524607763147889,True,True,False,False
72,360000000,slow_lift,False,,False,False,8.735541928104315,0.728331146830989,0.04874188295202411,0,0.0,0.04874188295202411,True,True,False,False
73,365000000,slow_lift,False,,False,False,8.917459312065013,0.7461442563985126,0.05266238344566212,0,0.0,0.05266238344566212,True,True,False,False
74,370000000,slow_lift,False,,False,False,9.073207160114832,0.7639320075911987,0.0626062438144209,0,0.0,0.0626062438144209,True,True,False,False
75,375000000,slow_lift,False,,False,False,9.196483910179607,0.7814276840542892,0.037149857004860676,0,0.0,0.037149857004860676,True,True,False,False
76,380000000,slow_lift,False,,False,False,9.282540421818938,0.7981257699115054,0.04933642552767205,0,0.0,0.04933642552767205,True,True,False,False
77,385000000,slow_lift,False,,False,False,9.327874701671282,0.8132688350018127,0.06721408293834265,0,0.0,0.058008627726155754,True,True,False,False
78,390000000,slow_lift,False,,False,False,9.330074082177592,0.8256752238525701,0.06354316817735793,0,0.0,0.06354316817735793,True,True,False,False
79,395000000,slow_lift,False,,False,False,9.288793736968385,0.8334599747422947,0.05606425298219139,0,0.0,0.05606425298219139,True,True,False,False
80,400000000,slow_lift,False,,False,False,9.205026865819352,0.8355613425064488,0.07228912283042221,0,0.0,0.04061919764761837,True,True,False,False
81,405000000,slow_lift,False,,False,False,9.078761149223883,0.8320370278402692,0.023061775567200647,0,0.0,0.023960027478661605,True,True,False,False
82,410000000,slow_lift,False,,False,False,8.913237091621614,0.8235592398987186,0.0446149366590112,0,0.0,0.0446149366590112,True,True,False,False
83,427000000,slow_lift,False,,False,False,8.715823338267818,0.811246075676375,0.030953938909500402,0,0.0,0.030953938909500402,True,True,False,False
84,432000000,slow_lift,False,,False,False,8.496539056228432,0.7968860756519105,0.04326322347485552,0,0.0,0.04326322347485552,True,True,False,False
85,437000000,slow_lift,False,,False,False,8.266415531779671,0.7820192957760657,0.04953590925933882,0,0.0,0.04953590925933882,True,True,False,False
86,442000000,slow_lift,False,,False,False,8.037283581541027,0.7673775582916067,0.05174728673520264,0,0.0,0.05174728673520264,True,True,False,False
87,447000000,slow_lift,False,,False,False,7.8208230459545005,0.753106036742646,0.05932446725648467,0,0.0,0.05932446725648467,True,True,False,False
88,452000000,slow_lift,False,,False,False,7.627266323771044,0.7391297919204496,0.038404708519620426,0,0.0,0.038404708519620426,True,True,False,False
89,457000000,slow_lift,False,,False,False,7.464370723144553,0.7254634829219949,0.035770145771246944,0,0.0,0.024819811266149867,True,True,False,False
90,462000000,slow_lift,False,,False,False,7.344781969208162,0.7110712945545259,0.05686346885532012,0,0.0,0.05686346885532012,True,True,False,False
91,467000000,slow_lift,False,,False,False,7.248240278432672,0.7001434769720167,0.03622721126161635,0,0.0,0.03622721126161635,True,True,False,False
92,472000000,slow_lift,False,,False,False,7.1920689507363935,0.6903927842510301,0.0456178064926382,0,0.0,0.04689338712604067,True,True,False,False
93,477000000,slow_lift,False,,False,False,7.17027973755954,0.6834253997181289,0.03461105126793325,0,0.0,0.03353352787817194,True,True,False,False
94,482000000,slow_lift,False,,False,False,7.175611527449365,0.6803228654607604,0.0520470231126533,0,0.0,0.0520470231126533,True,True,False,False
95,487000000,slow_lift,False,,False,False,7.201945267077537,0.6811009529028743,0.06091199628069684,0,0.0,0.0489839709345259,True,True,False,False
96,492000000,slow_lift,False,,False,False,7.242140294725324,0.6852653391969762,0.04130930933108096,0,0.0,0.05866827682537316,True,True,False,False
98,502000000,slow_lift,False,,False,False,7.334266382546624,0.7003847948915535,0.03309058562585339,0,0.0,0.03309058562585339,True,True,False,False
99,507000000,slow_lift,False,,False,False,7.37733798986478,0.7095372093758411,0.03553561004816981,0,0.0,0.03553561004816981,True,True,False,False
