sequence_id,timestamp_ns,control_tick,phase_id,contact_present,contact_regions,active_pair_total_tension_n,active_pair_balance_ratio,active_pair_max_abs_iq_a,active_pair_saturation_count,actuator_count,max_actuator_tension_n,max_actuator_abs_iq_a,lift_quality_now,adjust_needed_now,hold_safe_now,abort_required,fault_active
0,2000000,0,approach,False,,0.0,0.0,0.0330886074873059,0,6,0.0,0.0330886074873059,False,False,False,False,False
1,52000000,1,approach,False,,0.8547166137532618,0.7217049526164344,0.0470133677115935,0,6,0.29843251506915663,0.060024048562711894,False,False,False,False,False
2,102000000,2,approach,False,,1.0875073855988076,0.2579178179711586,0.025947619074589298,0,6,0.6185698393316532,0.024909180947556342,False,False,False,False,False
3,152000000,3,approach,False,,2.682277766280942,0.6323432169960534,0.030247506613593784,0,6,1.1580392389992553,0.06034017988151644,False,False,False,False,False
4,202000000,4,approach,False,,2.8892605053401867,0.6956133629801942,0.06947105332759952,0,6,1.1170497624671503,0.04194726382921633,False,False,False,False,False
5,252000000,5,approach,False,,1.450941278425464,0.6515427801534807,0.016522496690474082,0,6,0.7174997791185521,0.022293979956236692,False,False,False,False,False
6,302000000,6,approach,False,,1.1125238294943731,0.2693621600431468,0.038721550577432776,0,6,0.48457509477901173,0.04910516583986765,False,False,False,False,False
7,352000000,7,approach,False,,1.3190937851934832,0.2735813902229401,0.055945051674122365,0,6,0.6685318530904723,0.055945051674122365,False,False,False,False,False
8,402000000,8,approach,False,,1.6601075299997863,0.5383507711058108,0.02967183386260822,0,6,0.877921485386323,0.07218902658478944,False,False,False,False,False
9,442000000,9,preshape,False,,2.927155903527473,0.62979868669859,0.05275659447112242,0,6,1.2580973177302819,0.026592268177014704,False,False,False,False,False
10,492000000,10,preshape,False,,1.617556529594419,0.5148514807645823,0.0343361957979297,0,6,0.7828532897149831,0.07100767721110327,False,False,False,False,False
11,542000000,11,preshape,False,,1.3410453478003483,0.3102569970811143,0.04973140042032455,0,6,0.6333215709208192,0.04973140042032455,False,False,False,False,False
12,592000000,12,preshape,False,,1.4803320490650698,0.38474977008767497,0.037528041219929045,0,6,0.7942114551143726,0.05394220821785881,False,False,False,False,False
13,602000000,13,pinch_close,False,,1.5138198825362559,0.4100774900920963,0.053278811413748565,0,6,0.8119334962898762,0.03281031148394824,False,False,False,False,False
14,652000000,14,pinch_close,False,,51.564353888137724,0.5288124569906043,0.13798839951768407,0,6,14.324992022857266,0.13798839951768407,False,False,False,False,False
15,702000000,15,pinch_close,False,,62.34172397923752,0.5295700959049316,0.17813149396185593,0,6,18.093502758218094,0.17813149396185593,False,False,False,False,False
16,752000000,16,pinch_close,False,,64.80925297151838,0.5303518931310683,0.21663869730759489,0,6,19.081143072379277,0.21663869730759489,False,False,False,False,False
17,802000000,17,pinch_close,False,,65.55212221366739,0.530174765160179,0.2463731939438618,0,6,19.36556999508096,0.2463731939438618,False,False,False,False,False
18,852000000,18,pinch_close,True,thumb,66.60154501164911,0.5476510518049212,0.20156180841129728,0,6,19.469530537135597,0.20156180841129728,False,False,False,False,False
19,902000000,19,pinch_close,True,thumb,66.54984241305738,0.5410890717081689,0.17930678392942456,0,6,19.515820522096107,0.17930678392942456,False,False,False,False,False
20,952000000,20,pinch_close,False,,66.32841311857757,0.532052709652067,0.2118562483639722,0,6,19.562525153422218,0.2118562483639722,False,False,False,False,False
