Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_base_link,-0.000431113750548891,-6.22717667953746E-05,0.00833734392528563,0,0,0,0.0125765233454055,1.62444888378369E-06,-5.43591400498577E-08,5.04145308373679E-11,2.34178617829279E-06,3.31012279433782E-09,3.4900420195727E-06,0,0,0,0,0,0,package://hand_export/meshes/hand_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/hand_base_link.STL,,hand 装配(1).STEP-1/wrist bottom5.STEP-1,hand_base_csys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wrist_middle_link,5.498E-09,0.011916,-0.0007,0,0,0,0.010062,9.1563E-07,-2.3472E-12,2.0326E-11,3.0934E-06,-2.6167E-12,2.4817E-06,0,0,0,0,0,0,package://hand_export/meshes/wrist_middle_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand_export/meshes/wrist_middle_link.STL,,hand 装配(1).STEP-1/wrist middle 4.STEP-1,wrist_1_csys,wrist_1_axis,wrist_1_joint,revolute,0,0,0.015,1.5708,0.013816,-3.0663,hand_base_link,0,0,-1,1,1,-0.8,0.8,,,,,,,,
palm_link,-0.000207868250421531,0.0473735507926796,0.00393768478490308,0,0,0,0.141370954426337,0.000148459381690503,1.16389923489564E-07,-2.68746617256425E-07,6.58137540187791E-05,8.55438776131169E-06,9.79943669831463E-05,0,0,0,0,0,0,package://hand_export/meshes/palm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/palm_link.STL,,hand 装配(1).STEP-1/palm.STEP-1,wrist_2_csys,wrist_2_axis,wrist_2_joint,revolute,-0.0008,0.020264,-0.0007,-1.5708,-1.3897,1.5708,wrist_middle_link,0,0,-1,1,1,-0.8,0.8,,,,,,,,
index_mcp_flex_link,-0.00029872,0.0056314,-0.00077116,0,0,0,0.0017548,6.9833E-08,-1.3107E-09,7.4144E-11,9.4469E-08,-1.4018E-09,1.0986E-07,0,0,0,0,0,0,package://hand_export/meshes/index_mcp_flex_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand_export/meshes/index_mcp_flex_link.STL,,hand 装配(1).STEP-1/Index ab.STEP-1,index_mcp_flex_csys,index_mcp_flex_axis,index_mcp_flex_joint,revolute,-0.0014333,0.10034,-0.024803,0,1.5708,0,palm_link,0,0,-1,1,1,-0.5,0.5,,,,,,,,
index_proximal_phalanx_link,-0.00015452,0.015383,4.7706E-05,0,0,0,0.0070311,9.9814E-07,1.1605E-08,-3.3359E-10,2.6462E-07,-1.3987E-10,9.6679E-07,0,0,0,0,0,0,package://hand_export/meshes/index_proximal_phalanx_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand_export/meshes/index_proximal_phalanx_link.STL,,hand 装配(1).STEP-1/Index Proxmail phalanx.STEP-1,index_mcp_abd_csys,index_mcp_abd_axis,index_mcp_abd_joint,revolute,-0.00051676,0.0097417,-0.00026674,-0.052997,1.5708,0,index_mcp_flex_link,0,0,-1,1,1,0.2,1.2,,,,,,,,
index_proximal_inter_link,0.00380560557177807,0.011457082027939,-9.12940029351855E-05,0,0,0,0.00597048730592662,6.40946611890695E-07,-1.31319883419885E-07,5.29513349882296E-09,2.70636517103693E-07,5.21517188255343E-09,6.58181517368347E-07,0,0,0,0,0,0,package://hand_export/meshes/index_proximal_inter_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/index_proximal_inter_link.STL,,hand 装配(1).STEP-1/Index Proxmail inter.STEP-1,index_pip_csys,index_pip_axis,index_pip_joint,revolute,-0.00021096,0.034999,0.00025,0.048706,0.11,0.42472,index_proximal_phalanx_link,0.10977,-0.048393,-0.99278,1,1,0,1.57,,,,,,,,
index_distal_link,0.0039291,0.0091069,-2.3755E-05,0,0,0,0.0053528,3.8965E-07,-1.1128E-07,2.1188E-09,1.9687E-07,-1.2079E-09,4.2094E-07,0,0,0,0,0,0,package://hand_export/meshes/index_distal_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand_export/meshes/index_distal_link.STL,,hand 装配(1).STEP-1/Assem of distal phalanx1.STEP-1,index_dip_csys,index_dip_axis,index_dip_joint,revolute,0.0097266,0.027252,-0.00045437,0,0,0,index_proximal_inter_link,0,0,-1,1,1,0,1.2,,,,,,,,
middle_mcp_flex_link,-0.000371431404252262,0.00562702377273561,-0.000771160690628065,0,0,0,0.00175480527430814,6.98710535311158E-08,-1.62839627370203E-09,9.22432289888676E-11,9.44311585921861E-08,-1.4007391580412E-09,1.09859287155118E-07,0,0,0,0,0,0,package://hand_export/meshes/middle_mcp_flex_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/middle_mcp_flex_link.STL,,hand 装配(1).STEP-1/Index ab.STEP-4,middle_mcp_flex_csys,middle_mcp_flex_axis,middle_mcp_flex_joint,revolute,-0.0014333,0.097567,-0.0048026,0,1.5708,0,palm_link,0,0,-1,1,1,-0.5,0.5,,,,,,,,
middle_proximal_phalanx_link,0.0203923127294504,-0.00106212956121088,-0.000118910334106818,0,0,0,0.00905325785763738,3.50227925903646E-07,8.8821003182709E-08,-6.46282022265312E-10,1.83846255943487E-06,2.61309520940744E-10,1.80744456216822E-06,0,0,0,0,0,0,package://hand_export/meshes/middle_proximal_phalanx_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/middle_proximal_phalanx_link.STL,,hand 装配(1).STEP-1/Middle Proxmail phalanx.STEP-1,middle_mcp_abd_csys,middle_mcp_abd_axis,middle_mcp_abd_joint,revolute,-0.00064254,0.0097342,-0.00026674,1.5708,0,1.6367,middle_mcp_flex_link,0,0,-1,1,1,0.2,1.2,,,,,,,,
middle_proximal_inter_link,0.0150383539556829,-0.00042401599840825,4.13956527898704E-05,0,0,0,0.00732491272908859,2.81467624422952E-07,2.07304662892703E-08,8.13234893480483E-10,1.05788550343509E-06,-3.56646986986187E-10,1.03008836376808E-06,0,0,0,0,0,0,package://hand_export/meshes/middle_proximal_inter_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_export/meshes/middle_proximal_inter_link.STL,,hand 装配(1).STEP-1/Middle Proxmail inter.STEP-1,middle_pip_csys,middle_pip_axis,middle_pip_joint,revolute,0.044915,-0.0027578,-0.0003,0,0,0,middle_proximal_phalanx_link,0,0,-1,1,1,0,1.57,,,,,,,,
